VEC_X;VEC_Y;TILE_M;TILE_N;TILE_K;ms
4;8;8;8;4;22.3458
4;8;8;16;4;17.2281
4;8;8;32;4;19.5943
4;8;16;16;4;17.9497
4;8;16;32;4;16.3214
4;8;32;32;4;23.5276
8;8;2;16;4;26.0306
8;8;2;32;4;26.5142
8;8;4;8;4;20.2258
8;8;4;16;4;20.0692
8;8;4;32;4;18.2876
8;8;8;8;4;17.7839
8;8;8;16;4;16.5853
8;8;8;32;4;20.2183
8;8;16;16;4;19.675
8;8;16;32;4;21.9538
8;4;2;16;8;46.7245
8;4;2;32;8;49.2931
8;4;4;8;8;30.4252
8;4;4;16;8;29.6779
8;4;4;32;8;31.1906
8;4;8;8;8;23.6165
8;4;8;16;8;22.7314
8;4;8;32;8;23.0388
8;4;16;16;8;18.2908
8;4;16;32;8;20.2175
8;4;32;32;8;22.2276
4;8;2;16;8;25.9832
4;8;2;32;8;20.5366
4;8;4;8;8;20.1312
4;8;4;16;8;18.8631
4;8;4;32;8;14.8012
4;8;8;8;8;16.5211
4;8;8;16;8;12.2691
4;8;8;32;8;13.3458
4;8;16;16;8;13.7922
4;8;16;32;8;12.2469
4;8;32;32;8;18.8868
8;8;2;16;8;24.2113
8;8;2;32;8;24.9462
8;8;4;8;8;19.8929
8;8;4;16;8;17.3672
8;8;4;32;8;17.561
8;8;8;8;8;14.5052
8;8;8;16;8;12.3231
8;8;8;32;8;15.9771
8;8;16;16;8;14.5616
8;8;16;32;8;15.3224
8;4;2;16;12;45.3434
8;4;2;32;12;47.8792
8;4;4;8;12;28.2743
8;4;4;16;12;29.3608
8;4;4;32;12;30.0507
8;4;8;8;12;21.5445
8;4;8;16;12;22.5234
8;4;8;32;12;22.3798
8;4;16;16;12;18.5542
8;4;16;32;12;18.8101
8;4;32;32;12;21.922
4;8;2;16;12;24.195
4;8;2;32;12;20.0636
4;8;4;8;12;19.958
4;8;4;16;12;16.3475
4;8;4;32;12;14.0003
4;8;8;8;12;16.2021
4;8;8;16;12;15.5127
4;8;8;32;12;11.1756
4;8;16;16;12;11.2996
4;8;16;32;12;13.0066
4;8;32;32;12;15.8378
8;8;2;16;12;23.7847
8;8;2;32;12;27.4316
8;8;4;8;12;18.2306
8;8;4;16;12;17.3705
8;8;4;32;12;17.5712
8;8;8;8;12;13.8804
8;8;8;16;12;13.7721
8;8;8;32;12;14.5575
8;8;16;16;12;11.6511
8;8;16;32;12;14.9206
8;4;2;16;16;44.7118
8;4;2;32;16;49.4773
8;4;4;8;16;28.5675
8;4;4;16;16;28.0553
8;4;4;32;16;30.9928
8;4;8;8;16;21.6035
8;4;8;16;16;21.4563
8;4;8;32;16;23.2625
8;4;16;16;16;18.2399
8;4;16;32;16;18.091
8;4;32;32;16;20.5684
4;8;2;16;16;22.9976
4;8;2;32;16;22.5207
4;8;4;8;16;19.0505
4;8;4;16;16;17.5351
4;8;4;32;16;15.5747
4;8;8;8;16;14.5789
4;8;8;16;16;12.5424
4;8;8;32;16;11.4421
4;8;16;16;16;11.4296
4;8;16;32;16;11.6884
4;8;32;32;16;15.2334
8;8;2;16;16;24.5068
8;8;2;32;16;25.7613
8;8;4;8;16;18.3129
8;8;4;16;16;16.5493
8;8;4;32;16;20.1279
8;8;8;8;16;16.0537
8;8;8;16;16;11.7301
8;8;8;32;16;12.7596
8;8;16;16;16;13.0131
8;8;16;32;16;15.6313
8;4;2;16;24;53.4595
8;4;2;32;24;65.0844
8;4;4;8;24;26.6654
8;4;4;16;24;28.4487
8;4;4;32;24;31.3129
8;4;8;8;24;22.5111
8;4;8;16;24;21.5178
8;4;8;32;24;22.9284
8;4;16;16;24;18.117
8;4;16;32;24;16.9476
8;4;32;32;24;19.4197
4;8;2;16;24;31.4976
4;8;2;32;24;28.4398
4;8;4;8;24;19.0816
4;8;4;16;24;15.5733
4;8;4;32;24;15.8587
4;8;8;8;24;14.6942
4;8;8;16;24;14.1961
4;8;8;32;24;11.1122
4;8;16;16;24;12.6819
4;8;16;32;24;10.7344
4;8;32;32;24;14.0088
8;8;2;16;24;33.8241
8;8;2;32;24;32.2436
8;8;4;8;24;17.3148
8;8;4;16;24;16.228
8;8;4;32;24;18.014
8;8;8;8;24;13.1355
8;8;8;16;24;11.5491
8;8;8;32;24;12.2916
8;8;16;16;24;11.1494
8;8;16;32;24;14.2321
8;4;2;16;32;70.6342
8;4;2;32;32;94.5648
8;4;4;8;32;30.5646
8;4;4;16;32;28.3421
8;4;4;32;32;32.3377
8;4;8;8;32;21.8143
8;4;8;16;32;21.2651
8;4;8;32;32;21.4207
8;4;16;16;32;15.3559
8;4;16;32;32;17.5955
8;4;32;32;32;19.4524
4;8;2;16;32;35.9067
4;8;2;32;32;31.1603
4;8;4;8;32;22.1292
4;8;4;16;32;16.6918
4;8;4;32;32;15.0848
4;8;8;8;32;15.7064
4;8;8;16;32;14.4201
4;8;8;32;32;12.7136
4;8;16;16;32;10.4425
4;8;16;32;32;11.726
4;8;32;32;32;11.1264
8;8;2;16;32;38.7506
8;8;2;32;32;49.7395
8;8;4;8;32;21.3214
8;8;4;16;32;18.6335
8;8;4;32;32;18.1562
8;8;8;8;32;15.406
8;8;8;16;32;14.2206
8;8;8;32;32;14.7958
8;8;16;16;32;12.2889
8;8;16;32;32;11.8182
8;8;32;32;32;13.3585
8;4;2;16;40;86.0607
8;4;2;32;40;91.2826
8;4;4;8;40;39.2993
8;4;4;16;40;34.0186
8;4;4;32;40;33.6938
8;4;8;8;40;23.1821
8;4;8;16;40;24.666
8;4;8;32;40;24.3655
8;4;16;16;40;20.7948
8;4;16;32;40;16.218
8;4;32;32;40;19.893
4;8;2;16;40;46.0089
4;8;2;32;40;40.6724
4;8;4;8;40;29.0193
4;8;4;16;40;19.5917
4;8;4;32;40;21.5567
4;8;8;8;40;19.0161
4;8;8;16;40;15.1807
4;8;8;32;40;11.727
4;8;16;16;40;11.3655
4;8;16;32;40;11.254
4;8;32;32;40;10.8569
8;8;2;16;40;45.9039
8;8;2;32;40;49.1726
8;8;4;8;40;26.4915
8;8;4;16;40;23.7523
8;8;4;32;40;21.0118
8;8;8;8;40;17.7488
8;8;8;16;40;14.5307
8;8;8;32;40;13.1007
8;8;16;16;40;12.2668
8;8;16;32;40;11.7863
8;8;32;32;40;10.9984
8;4;2;16;52;116.08
8;4;2;32;52;115.2
8;4;4;8;52;51.2024
8;4;4;16;52;40.6117
8;4;4;32;52;41.8069
8;4;8;8;52;30.8011
8;4;8;16;52;25.8303
8;4;8;32;52;26.6958
8;4;16;16;52;19.2173
8;4;16;32;52;17.0212
8;4;32;32;52;17.8058
4;8;2;16;52;61.6551
4;8;2;32;52;50.0504
4;8;4;8;52;34.7425
4;8;4;16;52;29.9357
4;8;4;32;52;27.2908
4;8;8;8;52;27.139
4;8;8;16;52;17.508
4;8;8;32;52;13.0139
4;8;16;16;52;14.0068
4;8;16;32;52;12.1964
4;8;32;32;52;13.217
8;8;2;16;52;60.791
8;8;2;32;52;62.5252
8;8;4;8;52;34.6645
8;8;4;16;52;31.2564
8;8;4;32;52;31.0366
8;8;8;8;52;19.3163
8;8;8;16;52;15.3229
8;8;8;32;52;15.3496
8;8;16;16;52;16.1342
8;8;16;32;52;17.199
8;8;32;32;52;16.4694
8;4;2;16;64;168.588
8;4;2;32;64;170.36
8;4;4;8;64;61.4763
8;4;4;16;64;58.4675
8;4;4;32;64;57.4551
8;4;8;8;64;27.2782
8;4;8;16;64;26.4108
8;4;8;32;64;25.2936
8;4;16;16;64;18.9841
8;4;16;32;64;17.7669
8;4;32;32;64;17.5702
4;8;2;16;64;79.3626
4;8;2;32;64;71.4471
4;8;4;8;64;44.78
4;8;4;16;64;28.7984
4;8;4;32;64;26.6065
4;8;8;8;64;24.7186
4;8;8;16;64;18.0124
4;8;8;32;64;14.2144
4;8;16;16;64;12.7084
4;8;16;32;64;12.4381
4;8;32;32;64;11.9333
8;8;2;16;64;88.7939
8;8;2;32;64;88.5594
8;8;4;8;64;33.8761
8;8;4;16;64;30.1312
8;8;4;32;64;29.9084
8;8;8;8;64;18.8879
8;8;8;16;64;14.802
8;8;8;32;64;17.9634
8;8;16;16;64;17.2243
8;8;16;32;64;16.7527
8;8;32;32;64;15.942
